"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT08","WT09"
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-28","8.72"," 1700","0.00",,"50","34","  360","  340","15.0","19.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-29","6.93"," 1945","0.00",,"56","29","   60","   60","17.0","21.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-30","12.97"," 1656","1.12",,"40","34","   70","   70","28.0","36.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-03-31","9.62"," 1745","0.06",,"40","35","  360","  340","18.1","25.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-01","7.38"," 0412","0.00",,"55","34","  350","  360","17.0","21.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-02","4.92"," 1555","0.00",,"62","32","  190","  190","15.0","23.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-03","9.17"," 1131","0.31",,"52","45","  130","  130","19.9","25.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-04","12.30"," 1354","0.08",,"55","44","  290","  290","25.9","34.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-05","7.83"," 1518","0.44",,"47","36","   50","   50","19.9","25.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-06","17.22"," 1630","0.20",,"42","33","  340","  360","35.1","44.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-07","16.11"," 1557","0.00",,"50","32","  320","  310","25.9","36.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-08","6.49"," 1725","0.00",,"61","31","  180","  180","15.0","19.9",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-09","10.51"," 1427","0.00",,"74","47","  220","  200","25.9","35.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-10","12.08"," 1113","0.04",,"74","61","  250","  240","23.0","32.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-11","13.20"," 1804","0.09",,"61","44","  280","  280","25.9","33.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-12","9.40"," 0040","0.00",,"56","41","  290","  290","19.9","25.1",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-13","7.61"," 1235","0.00",,"47","41","  110","  100","15.0","19.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-14","9.62"," 1244","0.00",,"61","38","  140","  140","16.1","21.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-15","11.63"," 1635","0.02",,"82","48","  240","  220","29.1","40.0",,,,,,,
"USW00094817","PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US","2017-04-16","14.32"," 1326","0.00",,"70","53","  280","  280","25.9","33.1",,,,,,,
